px	py	v	yaw	yaw_rate	vx	vy	px_meas	py_meas	x_gt	y_gt	vx_gt	vy_gt	rmse_px	rmse_py	rmse_vx	rmse_vy	nis_lidar	nis_radar
0.312243	0.58034	0	0	0	0	0	0.312243	0.58034	0.6	0.6	5.19994	0	0.287757	0.0196602	5.19994	0	0	0
0.735392	0.629523	7.20253	-2.08745e-017	1.12566e-017	7.20253	-1.50349e-016	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686	0.221733	0.0250547	3.94021	0.00127057	0	74.7033
1.1605	0.494947	7.20561	-0.127201	-0.0118542	7.14739	-0.914091	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996	0.182549	0.0641326	3.40808	0.530864	0.221055	74.7033
1.25804	0.533077	7.19086	0.12277	0.0306239	7.13674	0.880602	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781	0.169438	0.0650041	3.10644	0.632859	0.221055	1.8249
1.6158	0.595363	7.20432	0.161565	0.0462119	7.1105	1.15891	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597	0.151933	0.058203	2.9071	0.762078	0.167484	1.8249
1.8511	0.56185	6.01205	0.0252866	-0.233868	6.01013	0.152008	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323	0.140114	0.0556596	2.67445	0.69755	0.167484	7.71366
2.16302	0.591206	6.01165	0.0399939	-0.178096	6.00684	0.240365	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932	0.129726	0.0517602	2.49492	0.650333	0.25411	7.71366
2.37893	0.637065	5.61033	0.0555703	-0.344165	5.60167	0.311607	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389	0.122194	0.0496253	2.33819	0.615309	0.25411	6.3216
2.65637	0.654107	5.60764	0.0442685	-0.322012	5.60215	0.248161	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654	0.11546	0.049128	2.20865	0.583338	0.00867673	6.3216
2.92284	0.647626	5.54264	-0.00377058	-0.476552	5.54261	-0.0208989	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668	0.109654	0.0478914	2.09823	0.554334	0.00867673	0.434928
3.1589	0.643132	5.49866	-0.0171887	-0.44124	5.49785	-0.0945104	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415	0.105237	0.0463239	2.00271	0.531733	1.20693	0.434928
3.44436	0.539173	5.53034	-0.165423	-0.854102	5.45484	-0.91068	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818	0.100837	0.0504804	1.91898	0.589399	1.20693	1.26558
3.74745	0.427015	5.5953	-0.283754	-1.07351	5.37155	-1.56647	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576	0.0972312	0.0741256	1.8444	0.737943	2.0718	1.26558
4.0284	0.510973	5.55608	-0.147443	-0.552307	5.49579	-0.81624	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724	0.0946927	0.0789369	1.77925	0.757706	2.0718	4.16363
4.30239	0.502808	5.53866	-0.140495	-0.468966	5.48408	-0.775599	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614	0.0930588	0.0846881	1.72068	0.773107	0.380498	4.16363
4.56344	0.537856	5.4619	-0.101222	-0.33458	5.43394	-0.55192	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238	0.091694	0.0871136	1.66725	0.772675	0.380498	2.13885
4.75408	0.643268	5.30676	-0.00182134	-0.0935135	5.30675	-0.00966541	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587	0.0889563	0.0847071	1.61778	0.752097	13.0792	2.13885
5.00678	0.641294	5.24617	-0.0107706	-0.103708	5.24587	-0.0565033	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649	0.086463	0.0828194	1.57229	0.735013	13.0792	2.06341
5.30737	0.63936	5.29307	-0.0158988	-0.103342	5.2924	-0.0841501	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413	0.0845527	0.0815876	1.53062	0.720942	2.3633	2.06341
5.56507	0.647297	5.3033	-0.00969217	-0.082313	5.30305	-0.0513997	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868	0.0827814	0.0807599	1.49219	0.708057	2.3633	1.70047
